Paper Title,Multimodal Information Extraction,Multimodal Information Extraction (score),Multimodal Information Extraction (sentence),Semantic Alignment with BIM/IFC,Semantic Alignment with BIM/IFC (score),Semantic Alignment with BIM/IFC (sentence),Formalisation of Regulatory Text,Formalisation of Regulatory Text (score),Formalisation of Regulatory Text (sentence),Rule Representation and Reasoning,Rule Representation and Reasoning (score),Rule Representation and Reasoning (sentence),Integration of Ontologies and Knowledge Graphs,Integration of Ontologies and Knowledge Graphs (score),Integration of Ontologies and Knowledge Graphs (sentence),Model–Driven Compliance Intelligence,Model–Driven Compliance Intelligence (score),Model–Driven Compliance Intelligence (sentence),Explainability and Trust in AI Systems,Explainability and Trust in AI Systems (score),Explainability and Trust in AI Systems (sentence),Human-in-the-Loop Approaches,Human-in-the-Loop Approaches (score),Human-in-the-Loop Approaches (sentence),Evaluation and Benchmarking,Evaluation and Benchmarking (score),Evaluation and Benchmarking (sentence),Tool Development and Real-World Application,Tool Development and Real-World Application (score),Tool Development and Real-World Application (sentence)
T. Beach et al. 2024,partially addressed,0.692,"the methodology behind the software includes; (a) the use of regulation experts to mark-up regulatory documents using rase [16], (b) the use of bim experts to map between the regulations and ifc data models, (c) the use of a rule engine (later a semantic model) to perform the compliance checking, and (d) a user interface to show the complex structure of compliance checking results to end users in an easily understood way",directly addressed,0.784,creation of bim data requirements for automated compliance checking,directly addressed,0.724,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",directly addressed,0.765,"the methodology behind the software includes; (a) the use of regulation experts to mark-up regulatory documents using rase [16], (b) the use of bim experts to map between the regulations and ifc data models, (c) the use of a rule engine (later a semantic model) to perform the compliance checking, and (d) a user interface to show the complex structure of compliance checking results to end users in an easily understood way",partially addressed,0.694,"wang, multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning, adv",partially addressed,0.627,"lin, knowledge-informed semantic alignment and rule interpretation for automated compliance checking, autom",partially addressed,0.686,"the methodology behind the software includes; (a) the use of regulation experts to mark-up regulatory documents using rase [16], (b) the use of bim experts to map between the regulations and ifc data models, (c) the use of a rule engine (later a semantic model) to perform the compliance checking, and (d) a user interface to show the complex structure of compliance checking results to end users in an easily understood way",partially addressed,0.605,"furthermore, some key recommendations for future activities in the field of automated compliance checking have been elicited from the results and consultation activities:  the reworking of standards and regulatory documents into a logi- cally driven form",directly addressed,0.754,"it is our view that the approach, presented in this paper, is necessary to allow the increased adoption of automated compliance checking",directly addressed,0.807,"how automated compliance checking in the construction sector can move beyond sole reliance on bim data, and tightly coupled integration with software tools, to provide an extensible enough system to integrate the current isolated software elements currently used within compliance checking processes"
T. Bloch et al. 2023,partially addressed,0.638,"el-gohary, semantic nlp-based information extraction from construction regulatory documents for automated compliance checking, j",directly addressed,0.74,"bim, together with the introduction of the industry foundation classes data model (ifc) for information sharing, holds the potential to provide the required information thus enabling the automation of compliance checking [10]",directly addressed,0.704,towards fully-automated code compliance checking of building regulations: challenges for rule interpretation and representation,partially addressed,0.667,"furthermore, we do not need to be concerned with translating the regulations to rules, but instead develop representations that encapsulate both the design and the reg- ulations (implicitly) using the same data structure",partially addressed,0.576,"instead, we propose to expand the scope of regulations that can be addressed automatically with ml, and to supplement the abilities of ml approach for acc with graph-based learning to target regulations that involve relational con- cerns (either topological or any other type of relationships)",partially addressed,0.558,"el-gohary, semantic nlp-based information extraction from construction regulatory documents for automated compliance checking, j",partially addressed,0.645,"specifically, we aim to implement a machine leaning routine for the entire checking process, in a way that allows us to represent the codes and regulations implicitly through the data set used for training, while also still having a means to trace proofs and explain acc outcomes (explainability as a requirement)",partially addressed,0.573,"dimyadi, the promise of automated compliance checking, dev",partially addressed,0.676,"dimyadi, the promise of automated compliance checking, dev",directly addressed,0.728,"dimyadi, the promise of automated compliance checking, dev"
V. Schuk et al. 2022,partially addressed,0.593,"this aspect should help to identify similar structures in regulations rules, thus supporting the process of translating them into a machine- readable language, by helping to decide on the best suitable methods and tools to be used in each case [58]",directly addressed,0.724,support the definition of information requirements from the bim model by facilitating the identification of the objects to be checked (mapping between the regulations/rules and bim model) [25] the following basic principle has been adopted for the modeling of regulations and regulation rules: regulations and regulation rules are modeled separately as objects of the classification systems established in the data base,directly addressed,0.755,"this aspect should help to identify similar structures in regulations rules, thus supporting the process of translating them into a machine- readable language, by helping to decide on the best suitable methods and tools to be used in each case [58]",directly addressed,0.709,"[6], the approaches for developing digital and machine-readable representations of regulation rules can be separated basically into hard-coded and logical, the former being more complex and requiring programming knowledges",partially addressed,0.66,suggested ontology for regulations  regulation rules  infrastructure objects in a graph database,partially addressed,0.558,", development of an object model for automated compliance checking, autom",partially addressed,0.631,", development of an object model for automated compliance checking, autom",partially addressed,0.573,"dimyadi, the promise of automated compliance checking, dev",partially addressed,0.68,", development of an object model for automated compliance checking, autom",directly addressed,0.789,", development of an object model for automated compliance checking, autom"
W. Goh et al. 2024,partially addressed,0.641,"005 zhang j, el-gohary nm (2016) semantic nlp-based information extraction from construction regulatory documents for automated compliance checking",partially addressed,0.645,"3390/buildings12111949 jiang l, shi j, wang c (2022) multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning",directly addressed,0.711,"006 zhong b, ding l, luo h, zhou y, hu y, hu h (2012) ontology-based semantic modeling of regulation constraint for automated construction quality compliance checking",partially addressed,0.678,"3390/buildings12111949 jiang l, shi j, wang c (2022) multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning",directly addressed,0.716,"3390/buildings12111949 jiang l, shi j, wang c (2022) multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning",partially addressed,0.544,"005 zhang j, el-gohary nm (2016) semantic nlp-based information extraction from construction regulatory documents for automated compliance checking",partially addressed,0.641,"john wiley & sons, hoboken, nj, usa, 57-83 malsane s, matthews j, lockley s, love pe, greenwood d (2015) development of an object model for automated compliance checking",partially addressed,0.559,"john wiley & sons, hoboken, nj, usa, 57-83 malsane s, matthews j, lockley s, love pe, greenwood d (2015) development of an object model for automated compliance checking",partially addressed,0.698,"john wiley & sons, hoboken, nj, usa, 57-83 malsane s, matthews j, lockley s, love pe, greenwood d (2015) development of an object model for automated compliance checking",directly addressed,0.743,"ontology-based acc systems generally perform compliance checking through three main functions: an application programming interface (api) for managing and updating the ontology model, an api for rule management, and an inference engine based on the model and rules"
X. Liu and X. Zhu 2023,partially addressed,0.521,"by using the prompt approach, the model generates compliance check results by learning the internal logic connection between regulations and specifications within the prompt",directly addressed,0.744,"a significant amount of research has been dedicated to automated compliance checking for bim models, and considerable progress has been made in this area",partially addressed,0.69,"by using the prompt approach, the model generates compliance check results by learning the internal logic connection between regulations and specifications within the prompt",partially addressed,0.682,"by using the prompt approach, the model generates compliance check results by learning the internal logic connection between regulations and specifications within the prompt",partially addressed,0.581,"they then applied an ontology-based approach to identify semantic features in standards, classify requirements, and prioritize them, thereby facilitating rule checking",partially addressed,0.538,"this process is designed to enhance the capability of gpt-3 based models learning, inference and judgment during implementing compliance checks",partially addressed,0.654,"by using the prompt approach, the model generates compliance check results by learning the internal logic connection between regulations and specifications within the prompt",partially addressed,0.556,"by using the prompt approach, the model generates compliance check results by learning the internal logic connection between regulations and specifications within the prompt",directly addressed,0.757,1 overall framework for the entire automated compliance checking system,directly addressed,0.801,1 overall framework for the entire automated compliance checking system
X. Wang and Nora El-Gohary 2023,partially addressed,0.638,"el-gohary, semantic nlp-based information extraction from construction regulatory documents for automated compliance checking, j",partially addressed,0.59,"on the other hand, the majority of bim software systems available on the market that aim to conduct automated compliance checking are limited in supporting construction field safety checking scenarios",directly addressed,0.728,"la rosa, a semantic approach for automated rule compliance checking in construction industry, ieee access 9 (2021) 129648129660, https://doi",partially addressed,0.648,"la rosa, a semantic approach for automated rule compliance checking in construction industry, ieee access 9 (2021) 129648129660, https://doi",partially addressed,0.631,"thus, knowledge graphs and queries have been used in compliance-related applications outside of the construction domain",partially addressed,0.655,"el-gohary, a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking, autom",partially addressed,0.596,"el-gohary, automated information transformation for automated regulatory compliance checking in construction, j",partially addressed,0.527,"current practices for automated field compliance checking automated field compliance checking aims to automatically check whether workers behaviors and their surrounding environment are adhering to applicable safety regulations, norms, procedures, and guidelines [33]",partially addressed,0.644,"however, the majority of these systems or applications are limited in supporting automated field compliance checking because they (1) mainly focused on checking violations in the design to identify potential hazards or risks (e",directly addressed,0.742,"on the other hand, the majority of bim software systems available on the market that aim to conduct automated compliance checking are limited in supporting construction field safety checking scenarios"
X. Wang et al. 2023,partially addressed,0.592,"for example, ren and zhang (2021), zhou and el-gohary (2017), and zhang and el-gohary (2013) developed rule-based information extraction methods to extract information from construction regulatory documents such as construction pro- cedural documents, building codes, and energy conservation codes through the use of syntactic and semantic features",partially addressed,0.551,"automated field compliance checking seeks to automate the process of extracting safety requirements from relevant regulations, capturing relevant site conditions, com- paring conditions with requirements to detect violations, and pro- ducing prompt feedback to relevant workers",partially addressed,0.678,"automated field compliance checking seeks to automate the process of extracting safety requirements from relevant regulations, capturing relevant site conditions, com- paring conditions with requirements to detect violations, and pro- ducing prompt feedback to relevant workers",partially addressed,0.614,"automated field compliance checking seeks to automate the process of extracting safety requirements from relevant regulations, capturing relevant site conditions, com- paring conditions with requirements to detect violations, and pro- ducing prompt feedback to relevant workers",partially addressed,0.585,ontology-based knowledge modeling for automated construction safety checking,partially addressed,0.611,a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking,partially addressed,0.578,all the aforementioned efforts would lead to a better understanding of how to automatically analyze construction safety regulations and how to advance the underlying models for support- ing automated and ai-based field compliance checking processes,partially addressed,0.561,"automated field compliance checking seeks to automate the process of extracting safety requirements from relevant regulations, capturing relevant site conditions, com- paring conditions with requirements to detect violations, and pro- ducing prompt feedback to relevant workers",partially addressed,0.666,"automated field compliance checking seeks to automate the process of extracting safety requirements from relevant regulations, capturing relevant site conditions, com- paring conditions with requirements to detect violations, and pro- ducing prompt feedback to relevant workers",partially addressed,0.699,"automated field compliance checking seeks to automate the process of extracting safety requirements from relevant regulations, capturing relevant site conditions, com- paring conditions with requirements to detect violations, and pro- ducing prompt feedback to relevant workers"
X. Xue and J. Zhang 2022,partially addressed,0.638,"el-gohary, semantic nlp-based information extraction from construction regulatory documents for automated compliance checking, j",partially addressed,0.61,the bim model and compliance checking report for the convention store were provided by an industry partner of this research,directly addressed,0.735,the authors proposed a ruleset expansion method to expand the range of checkable building code requirements of acc systems that use a pattern matching-based regulatory information transformation ruleset to automatically transform building codes from natural language to computable logic clauses that support automated reasoning,directly addressed,0.752,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.69,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.558,"el-gohary, semantic nlp-based information extraction from construction regulatory documents for automated compliance checking, j",partially addressed,0.659,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.535,"com/locate/autcon regulatory information transformation ruleset expansion to support automated building code compliance checking xiaorui xue, jiansong zhang * automation and intelligent construction (autoic) lab, school of construction management technology, purdue university, west lafayette, in, united states of america a r t i c l e i n f o a b s t r a c t keywords: automated compliance checking automated information extraction natural language processing part-of-speech tagging building design review automated construction management systems the traditional building code compliance checking process mainly relies on design reviewers to review design documents or models manually",partially addressed,0.688,automated compliance checking (acc) could be a promising upgrade of the traditional manual code compliance checking,directly addressed,0.792,automated compliance checking (acc) could be a promising upgrade of the traditional manual code compliance checking
X. Xue et al. 2022,partially addressed,0.608,extraction of construction regulatory requirements from textual documents using natural language processing techniques,partially addressed,0.646,preidel and borrmann (2015) presented a flow-based bim automated code compliance checking system,directly addressed,0.72,integrated methods that directly convert building code tables to logic rules and store these rules in an automated code compliance checking system are the most straightforward and intuitive method to process build- ing code requirements from tables,partially addressed,0.675,automated code compliance checking systems can utilize the logic rules,partially addressed,0.641,(2019) developed an ontology-based system to achieve automated compliance checking of semantic rules in french fire safety and accessibility codes,partially addressed,0.551,"bloch and sacks (2018) explored the possibility of integrating machine learning, rule-based inference making, and bim to accomplish automated code compliance checking",partially addressed,0.673,automated code compliance checking systems can utilize the logic rules,partially addressed,0.548,"bloch and sacks (2018) explored the possibility of integrating machine learning, rule-based inference making, and bim to accomplish automated code compliance checking",partially addressed,0.679,development of an object model for automated compliance checking,directly addressed,0.766,development of an object model for automated compliance checking
X. Zhao et al. 2023,partially addressed,0.58,knowledge-informed semantic alignment andrule interpretation for automated compliancechecking,directly addressed,0.749,regulatory knowledge representation for automated compliance audit of bim-based models,partially addressed,0.698,regulatory information transformation ruleset expansion to support automated building code compliance checking,partially addressed,0.699,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.696,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.61,knowledge-informed semantic alignment andrule interpretation for automated compliancechecking,partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.556,knowledge-informed semantic alignment andrule interpretation for automated compliancechecking,partially addressed,0.679,development of an object model for automated compliance checking,directly addressed,0.766,development of an object model for automated compliance checking
Y Li et al. 2023,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,partially addressed,0.698,the critical role of accessible data for bim-based automated rule checking systems,directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.751,building semantic information can be used for rule reasoning to achieve a higher degree of automatic compliance checking,directly addressed,0.728,"protege, a visual ontology development tool, is used to perform compliance checking by importing swrl rules to reason",partially addressed,0.596,building semantic information can be used for rule reasoning to achieve a higher degree of automatic compliance checking,partially addressed,0.697,building semantic information can be used for rule reasoning to achieve a higher degree of automatic compliance checking,partially addressed,0.588,"with the development of compliance checking research, more advanced and intelligent technologies, such as articial intelligence and semantic web technology, are used to improve the automation of compliance checking",directly addressed,0.73,"with the development of information technology, automated compliance checking (acc) has been paid more and more attention by researchers",directly addressed,0.806,"with the development of information technology, automated compliance checking (acc) has been paid more and more attention by researchers"
Y. Chen and H. Jiang 2024,partially addressed,0.608,it utilizes rule-based nlp technology for the automated interpretation of fire regulations,partially addressed,0.633,"firstly, rule check- ing involves the process of locating and identifying objects within the hierarchical structure of the bim model, followed by assessing these objects in accordance with the stipulated requirements (zhou et al",partially addressed,0.683,automated information transformation for automated regulatory compliance checking in construction,partially addressed,0.665,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,partially addressed,0.656,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,partially addressed,0.636,"additionally, to strengthen nlp-based approaches in rule interpretation tasks, techniques like ontologies, knowledge graphs, and deep learning are employed to explore how large language models (llms) can improve knowledge representation, enhancing integration across applications, including openbim, for a more comprehensive understanding of regulatory texts (ding et al",partially addressed,0.627,integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking,partially addressed,0.541,"presently, the compliance review pro- cess of decision-makers, entailing a manual examination of extensive rule data",partially addressed,0.643,"presently, the compliance review pro- cess of decision-makers, entailing a manual examination of extensive rule data",partially addressed,0.637,knowledge-informed semantic alignment and rule interpretation for automated compliance checking
Y. Wang et al. 2023,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,directly addressed,0.765,simplied schema queries for supporting bim-based rule-checking applications,directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.637,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.564,"we present an acc approach for bim models, including (1) a framework for automated bim compliance review, (2) the parsing of bim model data, (3) code knowledge translation, and (4) compliance check results",partially addressed,0.594,"however, limitations remain constraining the realization of fully automated compliance checks",partially addressed,0.545,"however, limitations remain constraining the realization of fully automated compliance checks",directly addressed,0.711,"however, limitations remain constraining the realization of fully automated compliance checks",directly addressed,0.784,"automated compliance checking (acc) serves to mitigate the expenditures of time, nancial cost, and incidence of inaccuracies associated with manual compliance checks"
Y. Zhou et al. 2022,partially addressed,0.655,rvt modeldata extractiondynamorelated regulationsregulations classficationtext analysisautomatic identificationswrl rule languageprotgcheck resultsautomated compliance checkingdata collection and processingdfs ontology model establishmentrule semantic processing figure 1,directly addressed,0.742,"moreover, the proposed dynamocelle-based bim data extraction and ontology mapping methods provide a solution for realizing data interoperability in compliance checking",directly addressed,0.739,"therefore, a natural language processing (nlp)-based semantic framework is proposed in this paper, which implements rules-based automated compliance checking for building information modeling (bim) at the design stage",partially addressed,0.699,the rules for automated compliance checking also need to contain rich semantic information to perform rule checking based on the interpretation of the ontology framework,directly addressed,0.734,"although many research efforts have indicated the potential of bim and ontology for automated compliance checking, an efcient methodology is still required for the interoperability and semantic representation of data from different sources",partially addressed,0.615,"these efforts are a benecial enhancement for automatic rule-based compliance checking and construction of semantic expressions, but the challenge buildings 2022, 12, 780 5 of 25 is that matching with the underlying ontology that integrates bim and domain knowledge may be difcult due to the differences in the frameworks",partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.534,development of an object model for automated compliance checking,directly addressed,0.707,"the proposed framework has higher recall than precision, which indicates the efciency and applicability of the framework for automated compliance checking",directly addressed,0.823,the current research on automated compliance checking is difcult to implement independently of bim
Yu. Zhou et al. 2022,partially addressed,0.693,"these studies have shown that it is feasible to improve the efficiency of extracting and interpreting rules from regulatory text based on nlp, and they have greatly facilitated rule interpretation for arc",partially addressed,0.681,"first, we propose seven semantic elements and the rctree to represent bim objects and rule checking requirements",directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.698,multi-ontology fusion and rule development to fa- cilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.59,"com/locate/compind integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking ]]]] ]]]]]] yu-cheng zhou a, zhe zheng a, jia-rui lin a,, xin-zheng lu a a department of civil engineering, tsinghua university, beijing, china a r t i c l e i n f o a b s t r a c t article history: received 3 march 2022 received in revised form 20 june 2022 accepted 12 july 2022 available online xxxx keywords: automated rule checking (arc) automated compliance checking (acc) rule interpretation context-free grammar syntax tree natural language processing (nlp) building information modeling (bim) smart design automated rule checking (arc) is expected to significantly promote the efficiency and compliance of design in the construction industry",partially addressed,0.627,towards the adoption of automated regulatory compliance checking in the built environment,partially addressed,0.542,"com/locate/compind integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking ]]]] ]]]]]] yu-cheng zhou a, zhe zheng a, jia-rui lin a,, xin-zheng lu a a department of civil engineering, tsinghua university, beijing, china a r t i c l e i n f o a b s t r a c t article history: received 3 march 2022 received in revised form 20 june 2022 accepted 12 july 2022 available online xxxx keywords: automated rule checking (arc) automated compliance checking (acc) rule interpretation context-free grammar syntax tree natural language processing (nlp) building information modeling (bim) smart design automated rule checking (arc) is expected to significantly promote the efficiency and compliance of design in the construction industry",partially addressed,0.659,towards the adoption of automated regulatory compliance checking in the built environment,directly addressed,0.759,"a review on bim-based automated code compliance checking system, in: proceedings of the 5th international conference on research and innovation in information systems (icriis), ieee, langkawi, malaysia, 2017: pp"
Z. Kabzhan et al. 2025,directly addressed,0.716,"this study aims to develop a method for the automated semantic analysis of regulatory documents in the construction domain, based on ontological modeling and natural language processing (nlp) techniques, to overcome existing limitations in compliance automation",directly addressed,0.762,"modern approaches to automated compliance checking involve the application of semantic processing to regulatory documents, followed by the alignment of extracted information with bim model parameters",directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.76,semantic-based logic representation and reasoning for automated regulatory compliance checking,directly addressed,0.757,"(2024) developed a conceptual framework for automated compliance checking based on knowledge graphs, in which regulatory documents are transformed into ontologies using a chinese nlp model and then applied to bim models to detect violations",partially addressed,0.625,"this study aims to develop a method for the automated semantic analysis of regulatory documents in the construction domain, based on ontological modeling and natural language processing (nlp) techniques, to overcome existing limitations in compliance automation",partially addressed,0.671,1 analysis of regulatory requirements and acc systems into logical rules the problem of automated compliance checking (acc) has been the focus of intensive research over the past several decades,partially addressed,0.593,"automated compliance checking (acc) is currently viewed as a promising solution for accelerating expert review, reducing errors, and improving the efficiency of regulatory document management (tang et al",partially addressed,0.692,"automated compliance checking (acc) is currently viewed as a promising solution for accelerating expert review, reducing errors, and improving the efficiency of regulatory document management (tang et al",directly addressed,0.79,1 analysis of regulatory requirements and acc systems into logical rules the problem of automated compliance checking (acc) has been the focus of intensive research over the past several decades
Z. Ma et al. 2024,partially addressed,0.582,rule representation is the starting point and the core task of the automatic compliance checking process,directly addressed,0.786,"(2) a process including representing the standard for quality of bim model by using owl and swrl, establishing the mapping be- tween the ontology of the standard and ifc model, and checking the quality of bim model by extracting the relevant information based on the mapping and ifc model was established, which could be used for the automatic compliance checking for the quality of bim models",directly addressed,0.712,"luo, ontology-based semantic modelling of regulation constraint for automated construction quality compliance checking [j], autom",directly addressed,0.734,rule representation is the starting point and the core task of the automatic compliance checking process,partially addressed,0.689,"the extracted concepts, relationships and checking rules are then represented by using ontology technology",partially addressed,0.523,"proposed a general process for the automatic compliance checking based on bim models as a rule-based one with four stages [19] for the first time, as shown in fig",partially addressed,0.69,rule representation is the starting point and the core task of the automatic compliance checking process,partially addressed,0.59,rule representation is the starting point and the core task of the automatic compliance checking process,partially addressed,0.673,it deserves to explain that automatic compliance checking means to check a model against standards by using a computerized process [8],directly addressed,0.762,this research contributes to the development of automatic compliance checking systems for the quality of bim models against real standards
Z. Wu et al. 2024,partially addressed,0.66,future research should explore methods for automated extraction of design strategies (as well as regulatory requirements for compliance checking) using natural language processing (nlp) techniques,partially addressed,0.549,"thirdly, reasoning for compliance checking of the four regulatory requirements (table 3) was conducted using algorithms 59, and reasoning for performance eval- uation based on the three design strategies (table 4) was conducted using algorithms 1012",partially addressed,0.66,"to illustrate how the reasoning algorithms achieve automated compliance checking, four regulatory requirements, height limit, per- centage of site coverage, plot ratio and site boundary, are taken as an example in this section, and these requirements are applied to the illustrative example in section 4",partially addressed,0.696,"thirdly, reasoning for compliance checking of the four regulatory requirements (table 3) was conducted using algorithms 59, and reasoning for performance eval- uation based on the three design strategies (table 4) was conducted using algorithms 1012",partially addressed,0.629,"swrl: a semantic web rule language combining owl and ruleml, w3c member submission21; 2004",partially addressed,0.55,"thirdly, cross-domain reasoning algorithms for automated compliance checking and performance evaluation are proposed",partially addressed,0.662,reasoning for automated compliance checking & performance evaluation is developed,partially addressed,0.544,reasoning for automated compliance checking & performance evaluation is developed,directly addressed,0.79,reasoning for automated compliance checking & performance evaluation is developed,directly addressed,0.777,reasoning for automated compliance checking & performance evaluation is developed
Z. Zheng et al. 2022,directly addressed,0.722,"generally, the nlp-based method for automated rule interpretation consists of two tasks: 1) information extraction, which extracts semantic information from textual building regulatory documents automatically [10,11], and 2) information transformation, which transforms the extracted infor- mation into logic clauses to support reasoning in compliance checking [2,12]",directly addressed,0.736,"to achieve full automated rule checking, both the regulations and the design models (including bims, and their equivalent ontologies) should use the same concepts and relations to define and describe the same objects, i",directly addressed,0.759,"generally, the nlp-based method for automated rule interpretation consists of two tasks: 1) information extraction, which extracts semantic information from textual building regulatory documents automatically [10,11], and 2) information transformation, which transforms the extracted infor- mation into logic clauses to support reasoning in compliance checking [2,12]",directly addressed,0.72,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",directly addressed,0.72,"finally, automated compliance checking is performed through a reasoning engine, such as protege and graphdb [27]",partially addressed,0.623,"to enhance nlp-based methods for different tasks in rule interpretation, techniques, such as ontology, machine learning, and deep learning are introduced to achieve a more compre- hensive understanding of regulatory texts [6]",partially addressed,0.676,"finally, automated compliance checking is performed through a reasoning engine, such as protege and graphdb [27]",partially addressed,0.543,"given that extensive human knowledge is needed in the regulation compliance checking process, the building design was checked manually by domain experts for a long time",directly addressed,0.712,"therefore, an automated compliance checking (acc) method is critical for a more efficient and consistent checking procedure",directly addressed,0.785,"therefore, an automated compliance checking (acc) method is critical for a more efficient and consistent checking procedure"
Z. Zheng et al. 2024,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,partially addressed,0.697,classification of rules for automated bim rule checking development,directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.656,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,partially addressed,0.575,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,partially addressed,0.646,modelling and accessing regulatory knowledge for computer-assisted compliance audit,partially addressed,0.522,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,partially addressed,0.631,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,directly addressed,0.753,a review on bim-based automated code compliance checking system
